date,technology,category,parent,adoption,knowledge,sentiment,total
5/2012,php,pl,php,207,380,0,588
5/2012,java,pl,java,699,648,10,1358
5/2012,ruby,pl,ruby,108,54,-10,152
5/2012,objective-c,pl,objective-c,59,35,40,134
5/2012,c++,pl,c++,662,341,0,1003
5/2012,perl,pl,perl,195,99,20,315
5/2012,lua,pl,lua,6,25,60,91
5/2012,python,pl,python,205,111,-10,307
5/2012,scala,pl,scala,12,29,70,111
5/2012,clojure,pl,clojure,2,27,40,70
5/2012,coffeescript,pl,coffeescript,1,22,-50,-25
5/2012,javascript,pl,javascript,402,223,10,636
5/2012,haskell,pl,haskell,3,29,30,62
5/2012,lisp,pl,lisp,5,58,-20,44
5/2012,ruby-on-rails,wf,ruby,43,33,20,97
5/2012,codeigniter,wf,php,3,22,20,46
5/2012,zend-framework,wf,php,8,27,-40,-4
5/2012,cakephp,wf,php,3,21,20,45
5/2012,spring,wf,java,100,99,10,210
5/2012,yii,wf,php,0,20,10,31
5/2012,django,wf,python,15,27,-10,33
5/2012,pear,wf,php,0,24,0,24
5/2012,symfony,wf,php,3,23,30,56
5/2012,wordpress,cms,php,18,280,50,348
5/2012,drupal,cms,php,17,44,90,151
5/2012,joomla,cms,php,11,53,30,94
5/2012,concrete5,cms,php,0,17,-20,-2
5/2012,typo3,cms,php,0,24,-10,15
